X [s],L DELTOID POSTERIOR: EMG 5 [V],L DELTOID POSTERIOR: EMG 5->filter (FilterSlidingRMS45) [V]
5.797059e-002,0.000000e+000,0.000000e+000
5.876471e-002,0.000000e+000,0.000000e+000
5.955882e-002,0.000000e+000,0.000000e+000
6.035294e-002,0.000000e+000,0.000000e+000
6.114706e-002,0.000000e+000,0.000000e+000
6.194118e-002,0.000000e+000,0.000000e+000
6.273529e-002,0.000000e+000,0.000000e+000
6.352941e-002,0.000000e+000,0.000000e+000
6.432353e-002,0.000000e+000,0.000000e+000
6.511765e-002,0.000000e+000,0.000000e+000
6.591176e-002,0.000000e+000,0.000000e+000
6.670588e-002,0.000000e+000,0.000000e+000
6.750000e-002,0.000000e+000,0.000000e+000
6.829412e-002,0.000000e+000,0.000000e+000
6.908824e-002,0.000000e+000,0.000000e+000
6.988235e-002,0.000000e+000,0.000000e+000
7.067647e-002,0.000000e+000,0.000000e+000
7.147059e-002,0.000000e+000,0.000000e+000
7.226471e-002,0.000000e+000,0.000000e+000
7.305882e-002,0.000000e+000,0.000000e+000
7.385294e-002,0.000000e+000,0.000000e+000
7.464706e-002,0.000000e+000,0.000000e+000
7.544118e-002,0.000000e+000,0.000000e+000
7.623529e-002,0.000000e+000,0.000000e+000
7.702941e-002,0.000000e+000,0.000000e+000
7.782353e-002,0.000000e+000,0.000000e+000
7.861765e-002,0.000000e+000,0.000000e+000
7.941176e-002,0.000000e+000,0.000000e+000
8.020588e-002,0.000000e+000,0.000000e+000
8.100000e-002,0.000000e+000,0.000000e+000
8.179412e-002,0.000000e+000,0.000000e+000
8.258824e-002,0.000000e+000,0.000000e+000
8.338235e-002,0.000000e+000,0.000000e+000
8.417647e-002,0.000000e+000,0.000000e+000
8.497059e-002,0.000000e+000,0.000000e+000
8.576471e-002,0.000000e+000,0.000000e+000
8.655882e-002,0.000000e+000,0.000000e+000
8.735294e-002,0.000000e+000,0.000000e+000
8.814706e-002,0.000000e+000,0.000000e+000
8.894118e-002,0.000000e+000,0.000000e+000
8.973529e-002,0.000000e+000,0.000000e+000
9.052941e-002,0.000000e+000,0.000000e+000
9.132353e-002,0.000000e+000,0.000000e+000
9.211765e-002,0.000000e+000,0.000000e+000
9.291176e-002,0.000000e+000,0.000000e+000
9.370588e-002,0.000000e+000,0.000000e+000
9.450000e-002,-1.091020e-005,0.000000e+000
9.529412e-002,-7.888914e-006,0.000000e+000
9.608824e-002,-1.393149e-005,0.000000e+000
9.688235e-002,-1.359579e-005,0.000000e+000
9.767647e-002,-1.393149e-005,0.000000e+000
9.847059e-002,-1.359579e-005,0.000000e+000
9.926471e-002,-1.124590e-005,0.000000e+000
1.000588e-001,-1.426719e-005,0.000000e+000
1.008529e-001,-1.426719e-005,0.000000e+000
1.016471e-001,-1.594568e-005,0.000000e+000
1.024412e-001,-2.030976e-005,0.000000e+000
1.032353e-001,-1.930266e-005,0.000000e+000
1.040294e-001,-1.359579e-005,0.000000e+000
1.048235e-001,-9.063859e-006,0.000000e+000
1.056176e-001,-1.124590e-005,0.000000e+000
1.064118e-001,-1.493858e-005,0.000000e+000
1.072059e-001,-1.997406e-005,0.000000e+000
1.080000e-001,-2.198825e-005,0.000000e+000
1.087941e-001,-2.030976e-005,0.000000e+000
1.095882e-001,-2.030976e-005,0.000000e+000
1.103824e-001,-1.930266e-005,0.000000e+000
1.111765e-001,-1.762417e-005,0.000000e+000
1.119706e-001,-1.560998e-005,0.000000e+000
1.127647e-001,-1.225299e-005,0.000000e+000
1.135588e-001,-1.225299e-005,0.000000e+000
1.143529e-001,-8.560311e-006,0.000000e+000
1.151471e-001,-1.023880e-005,0.000000e+000
1.159412e-001,-1.292439e-005,0.000000e+000
1.167353e-001,-1.292439e-005,0.000000e+000
1.175294e-001,-1.326009e-005,0.000000e+000
1.183235e-001,-1.560998e-005,0.000000e+000
1.191176e-001,-1.762417e-005,0.000000e+000
1.199118e-001,-1.628138e-005,0.000000e+000
1.207059e-001,-1.762417e-005,0.000000e+000
1.215000e-001,-1.460288e-005,0.000000e+000
1.222941e-001,-1.460288e-005,0.000000e+000
1.230882e-001,-1.443504e-005,0.000000e+000
1.238824e-001,-1.242084e-005,0.000000e+000
1.246765e-001,-1.426719e-005,0.000000e+000
1.254706e-001,-1.560998e-005,0.000000e+000
1.262647e-001,-1.510643e-005,0.000000e+000
1.270588e-001,-1.762417e-005,0.000000e+000
1.278529e-001,-1.628138e-005,0.000000e+000
1.286471e-001,-1.762417e-005,0.000000e+000
1.294412e-001,-1.930266e-005,0.000000e+000
1.302353e-001,-1.963836e-005,0.000000e+000
1.310294e-001,-1.762417e-005,0.000000e+000
1.318235e-001,-1.762417e-005,0.000000e+000
1.326176e-001,-1.695277e-005,0.000000e+000
