X [s],R DELTOID POSTERIOR: EMG 7 [V],R DELTOID POSTERIOR: EMG 7->filter (FilterSlidingRMS39) [V]
7.634483e-002,0.000000e+000,0.000000e+000
7.681034e-002,0.000000e+000,0.000000e+000
7.727586e-002,0.000000e+000,0.000000e+000
7.774138e-002,0.000000e+000,0.000000e+000
7.820690e-002,0.000000e+000,0.000000e+000
7.867241e-002,0.000000e+000,0.000000e+000
7.913793e-002,0.000000e+000,0.000000e+000
7.960345e-002,0.000000e+000,0.000000e+000
8.006897e-002,0.000000e+000,0.000000e+000
8.053448e-002,0.000000e+000,0.000000e+000
8.100000e-002,0.000000e+000,0.000000e+000
8.146552e-002,0.000000e+000,0.000000e+000
8.193103e-002,0.000000e+000,0.000000e+000
8.239655e-002,0.000000e+000,0.000000e+000
8.286207e-002,0.000000e+000,0.000000e+000
8.332759e-002,0.000000e+000,0.000000e+000
8.379310e-002,0.000000e+000,0.000000e+000
8.425862e-002,0.000000e+000,0.000000e+000
8.472414e-002,0.000000e+000,0.000000e+000
8.518966e-002,0.000000e+000,0.000000e+000
8.565517e-002,0.000000e+000,0.000000e+000
8.612069e-002,0.000000e+000,0.000000e+000
8.658621e-002,0.000000e+000,0.000000e+000
8.705172e-002,0.000000e+000,0.000000e+000
8.751724e-002,0.000000e+000,0.000000e+000
8.798276e-002,0.000000e+000,0.000000e+000
8.844828e-002,0.000000e+000,0.000000e+000
8.891379e-002,0.000000e+000,0.000000e+000
8.937931e-002,0.000000e+000,0.000000e+000
8.984483e-002,0.000000e+000,0.000000e+000
9.031034e-002,0.000000e+000,0.000000e+000
9.077586e-002,0.000000e+000,0.000000e+000
9.124138e-002,0.000000e+000,0.000000e+000
9.170690e-002,0.000000e+000,0.000000e+000
9.217241e-002,0.000000e+000,0.000000e+000
9.263793e-002,0.000000e+000,0.000000e+000
9.310345e-002,0.000000e+000,0.000000e+000
9.356897e-002,0.000000e+000,0.000000e+000
9.403448e-002,0.000000e+000,0.000000e+000
9.450000e-002,-1.493858e-005,0.000000e+000
9.496552e-002,-9.231709e-006,0.000000e+000
9.543103e-002,-8.224612e-006,0.000000e+000
9.589655e-002,-7.553216e-006,0.000000e+000
9.636207e-002,-7.217518e-006,0.000000e+000
9.682759e-002,-7.888914e-006,0.000000e+000
9.729310e-002,-8.224612e-006,0.000000e+000
9.775862e-002,-8.392462e-006,0.000000e+000
9.822414e-002,-9.063859e-006,0.000000e+000
9.868966e-002,-1.023880e-005,0.000000e+000
9.915517e-002,-1.023880e-005,0.000000e+000
9.962069e-002,-1.040665e-005,0.000000e+000
1.000862e-001,-1.057450e-005,0.000000e+000
1.005517e-001,-1.023880e-005,0.000000e+000
1.010172e-001,-9.735256e-006,0.000000e+000
1.014828e-001,-9.735256e-006,0.000000e+000
1.019483e-001,-9.567407e-006,0.000000e+000
1.024138e-001,-1.023880e-005,0.000000e+000
