X [s],R DELTOID ANTERIOR: EMG 2 [V],R DELTOID ANTERIOR: EMG 2->filter (FilterSlidingRMS51) [V]
1.111154e-001,-1.762417e-005,0.000000e+000
1.116346e-001,-1.661708e-005,0.000000e+000
1.121538e-001,-1.628138e-005,0.000000e+000
1.126731e-001,-1.661708e-005,0.000000e+000
1.131923e-001,-1.560998e-005,0.000000e+000
1.137115e-001,-1.493858e-005,0.000000e+000
1.142308e-001,-1.628138e-005,0.000000e+000
1.147500e-001,-1.628138e-005,0.000000e+000
1.152692e-001,-1.577783e-005,0.000000e+000
1.157885e-001,-1.661708e-005,0.000000e+000
1.163077e-001,-1.779202e-005,0.000000e+000
1.168269e-001,-1.947051e-005,0.000000e+000
1.173462e-001,-2.098116e-005,0.000000e+000
1.178654e-001,-2.182040e-005,0.000000e+000
1.183846e-001,-2.232395e-005,0.000000e+000
1.189038e-001,-2.433814e-005,0.000000e+000
1.194231e-001,-2.433814e-005,0.000000e+000
1.199423e-001,-2.299535e-005,0.000000e+000
1.204615e-001,-2.232395e-005,0.000000e+000
1.209808e-001,-2.165255e-005,0.000000e+000
1.215000e-001,-2.047761e-005,0.000000e+000
1.220192e-001,-2.064546e-005,0.000000e+000
1.225385e-001,-2.098116e-005,0.000000e+000
1.230577e-001,-2.265965e-005,0.000000e+000
1.235769e-001,-2.366674e-005,0.000000e+000
1.240962e-001,-2.232395e-005,0.000000e+000
1.246154e-001,-2.047761e-005,0.000000e+000
1.251346e-001,-2.165255e-005,0.000000e+000
1.256538e-001,-2.366674e-005,0.000000e+000
1.261731e-001,-2.534523e-005,0.000000e+000
1.266923e-001,-2.568093e-005,0.000000e+000
1.272115e-001,-2.500954e-005,0.000000e+000
1.277308e-001,-2.467384e-005,0.000000e+000
1.282500e-001,-2.500954e-005,0.000000e+000
1.287692e-001,-2.299535e-005,0.000000e+000
1.292885e-001,-2.198825e-005,0.000000e+000
1.298077e-001,-2.198825e-005,0.000000e+000
1.303269e-001,-2.232395e-005,0.000000e+000
1.308462e-001,-2.232395e-005,0.000000e+000
1.313654e-001,-2.232395e-005,0.000000e+000
1.318846e-001,-2.299535e-005,0.000000e+000
1.324038e-001,-2.601663e-005,0.000000e+000
1.329231e-001,-2.534523e-005,0.000000e+000
1.334423e-001,-2.265965e-005,0.000000e+000
1.339615e-001,-2.165255e-005,0.000000e+000
1.344808e-001,-2.165255e-005,0.000000e+000
1.350000e-001,-2.064546e-005,0.000000e+000
1.355192e-001,-1.980621e-005,0.000000e+000
1.360385e-001,-1.963836e-005,0.000000e+000
1.365577e-001,-1.829557e-005,0.000000e+000
1.370769e-001,-1.963836e-005,0.000000e+000
1.375962e-001,-2.165255e-005,0.000000e+000
1.381154e-001,-2.232395e-005,0.000000e+000
1.386346e-001,-2.265965e-005,0.000000e+000
1.391538e-001,-2.366674e-005,0.000000e+000
1.396731e-001,-2.433814e-005,0.000000e+000
1.401923e-001,-2.366674e-005,0.000000e+000
1.407115e-001,-2.299535e-005,0.000000e+000
1.412308e-001,-2.366674e-005,0.000000e+000
1.417500e-001,-2.500954e-005,0.000000e+000
1.422692e-001,-2.433814e-005,0.000000e+000
1.427885e-001,-2.517739e-005,0.000000e+000
1.433077e-001,-2.433814e-005,0.000000e+000
1.438269e-001,-2.165255e-005,0.000000e+000
1.443462e-001,-2.030976e-005,0.000000e+000
1.448654e-001,-1.930266e-005,0.000000e+000
1.453846e-001,-2.030976e-005,0.000000e+000
1.459038e-001,-2.366674e-005,0.000000e+000
1.464231e-001,-2.601663e-005,0.000000e+000
1.469423e-001,-2.568093e-005,0.000000e+000
1.474615e-001,-2.433814e-005,0.000000e+000
1.479808e-001,-2.500954e-005,0.000000e+000
1.485000e-001,-2.635233e-005,0.000000e+000
1.490192e-001,-2.568093e-005,0.000000e+000
1.495385e-001,-2.500954e-005,0.000000e+000
1.500577e-001,-2.500954e-005,0.000000e+000
1.505769e-001,-2.601663e-005,0.000000e+000
1.510962e-001,-2.635233e-005,0.000000e+000
1.516154e-001,-2.433814e-005,0.000000e+000
1.521346e-001,-2.316319e-005,0.000000e+000
1.526538e-001,-2.098116e-005,0.000000e+000
1.531731e-001,-1.913481e-005,0.000000e+000
1.536923e-001,-1.628138e-005,0.000000e+000
1.542115e-001,-1.628138e-005,0.000000e+000
1.547308e-001,-1.762417e-005,0.000000e+000
1.552500e-001,-1.695277e-005,0.000000e+000
1.557692e-001,-1.644922e-005,0.000000e+000
1.562885e-001,-1.628138e-005,0.000000e+000
1.568077e-001,-1.779202e-005,0.000000e+000
1.573269e-001,-1.829557e-005,0.000000e+000
1.578462e-001,-1.661708e-005,0.000000e+000
1.583654e-001,-1.896696e-005,0.000000e+000
1.588846e-001,-2.299535e-005,0.000000e+000
1.594038e-001,-2.500954e-005,0.000000e+000
1.599231e-001,-2.400244e-005,0.000000e+000
1.604423e-001,-2.383459e-005,0.000000e+000
1.609615e-001,-2.064546e-005,0.000000e+000
1.614808e-001,-1.242084e-005,0.000000e+000
1.620000e-001,-5.874723e-006,0.000000e+000
1.625192e-001,-5.203327e-006,0.000000e+000
1.630385e-001,-6.546120e-006,0.000000e+000
1.635577e-001,-6.210422e-006,0.000000e+000
1.640769e-001,-3.524834e-006,0.000000e+000
1.645962e-001,-4.531929e-006,0.000000e+000
1.651154e-001,-6.378271e-006,0.000000e+000
1.656346e-001,-6.881819e-006,0.000000e+000
1.661538e-001,-7.217518e-006,0.000000e+000
1.666731e-001,-1.258869e-005,0.000000e+000
1.671923e-001,-1.695277e-005,0.000000e+000
1.677115e-001,-1.896696e-005,0.000000e+000
1.682308e-001,-2.047761e-005,0.000000e+000
1.687500e-001,-2.400244e-005,0.000000e+000
1.692692e-001,-2.702373e-005,0.000000e+000
1.697885e-001,-2.769513e-005,0.000000e+000
1.703077e-001,-2.836652e-005,0.000000e+000
1.708269e-001,-2.769513e-005,0.000000e+000
1.713462e-001,-2.903792e-005,0.000000e+000
1.718654e-001,-3.105211e-005,0.000000e+000
1.723846e-001,-3.105211e-005,0.000000e+000
1.729038e-001,-3.239490e-005,0.000000e+000
1.734231e-001,-3.440909e-005,0.000000e+000
1.739423e-001,-3.508049e-005,0.000000e+000
1.744615e-001,-3.508049e-005,0.000000e+000
1.749808e-001,-3.373770e-005,0.000000e+000
1.755000e-001,-3.138781e-005,0.000000e+000
1.760192e-001,-3.172351e-005,0.000000e+000
1.765385e-001,-3.239490e-005,0.000000e+000
1.770577e-001,-3.340200e-005,0.000000e+000
1.775769e-001,-3.541619e-005,0.000000e+000
1.780962e-001,-3.608759e-005,0.000000e+000
1.786154e-001,-3.323415e-005,0.000000e+000
1.791346e-001,-3.105211e-005,0.000000e+000
1.796538e-001,-3.038071e-005,0.000000e+000
1.801731e-001,-2.970932e-005,0.000000e+000
1.806923e-001,-2.735943e-005,0.000000e+000
1.812115e-001,-2.668803e-005,0.000000e+000
1.817308e-001,-2.769513e-005,0.000000e+000
1.822500e-001,-2.702373e-005,0.000000e+000
1.827692e-001,-2.568093e-005,0.000000e+000
1.832885e-001,-2.719158e-005,0.000000e+000
1.838077e-001,-2.735943e-005,0.000000e+000
1.843269e-001,-2.601663e-005,0.000000e+000
1.848462e-001,-2.433814e-005,0.000000e+000
1.853654e-001,-2.500954e-005,0.000000e+000
1.858846e-001,-2.467384e-005,0.000000e+000
1.864038e-001,-2.265965e-005,0.000000e+000
1.869231e-001,-2.333104e-005,0.000000e+000
1.874423e-001,-2.601663e-005,0.000000e+000
1.879615e-001,-2.568093e-005,0.000000e+000
1.884808e-001,-2.500954e-005,0.000000e+000
1.890000e-001,-2.366674e-005,0.000000e+000
1.895192e-001,-2.265965e-005,0.000000e+000
1.900385e-001,-2.316319e-005,0.000000e+000
1.905577e-001,-2.383459e-005,0.000000e+000
1.910769e-001,-2.366674e-005,0.000000e+000
1.915962e-001,-2.299535e-005,0.000000e+000
1.921154e-001,-2.165255e-005,0.000000e+000
1.926346e-001,-2.030976e-005,0.000000e+000
1.931538e-001,-1.829557e-005,0.000000e+000
1.936731e-001,-1.829557e-005,0.000000e+000
1.941923e-001,-1.762417e-005,0.000000e+000
1.947115e-001,-1.560998e-005,0.000000e+000
1.952308e-001,-1.560998e-005,0.000000e+000
1.957500e-001,-1.628138e-005,0.000000e+000
1.962692e-001,-1.628138e-005,0.000000e+000
1.967885e-001,-1.527428e-005,0.000000e+000
1.973077e-001,-1.560998e-005,0.000000e+000
1.978269e-001,-1.829557e-005,0.000000e+000
1.983462e-001,-1.896696e-005,0.000000e+000
1.988654e-001,-1.846342e-005,0.000000e+000
1.993846e-001,-1.795987e-005,0.000000e+000
1.999038e-001,-1.795987e-005,0.000000e+000
2.004231e-001,-1.930266e-005,0.000000e+000
2.009423e-001,-2.030976e-005,0.000000e+000
2.014615e-001,-2.030976e-005,0.000000e+000
2.019808e-001,-1.896696e-005,0.000000e+000
2.025000e-001,-1.896696e-005,0.000000e+000
2.030192e-001,-1.896696e-005,0.000000e+000
2.035385e-001,-1.963836e-005,0.000000e+000
2.040577e-001,-2.030976e-005,0.000000e+000
2.045769e-001,-2.098116e-005,0.000000e+000
2.050962e-001,-2.030976e-005,0.000000e+000
2.056154e-001,-1.829557e-005,0.000000e+000
2.061346e-001,-1.762417e-005,0.000000e+000
2.066538e-001,-1.829557e-005,0.000000e+000
2.071731e-001,-2.081331e-005,0.000000e+000
2.076923e-001,-2.198825e-005,0.000000e+000
2.082115e-001,-2.165255e-005,0.000000e+000
2.087308e-001,-2.198825e-005,0.000000e+000
2.092500e-001,-2.299535e-005,0.000000e+000
2.097692e-001,-2.299535e-005,0.000000e+000
2.102885e-001,-2.299535e-005,0.000000e+000
2.108077e-001,-2.299535e-005,0.000000e+000
2.113269e-001,-2.165255e-005,0.000000e+000
2.118462e-001,-1.963836e-005,0.000000e+000
2.123654e-001,-2.131685e-005,0.000000e+000
2.128846e-001,-2.433814e-005,0.000000e+000
2.134038e-001,-2.450599e-005,0.000000e+000
2.139231e-001,-2.349889e-005,0.000000e+000
2.144423e-001,-2.400244e-005,0.000000e+000
2.149615e-001,-2.568093e-005,0.000000e+000
2.154808e-001,-2.500954e-005,0.000000e+000
2.160000e-001,-2.433814e-005,0.000000e+000
2.165192e-001,-2.568093e-005,0.000000e+000
2.170385e-001,-2.568093e-005,0.000000e+000
2.175577e-001,-2.568093e-005,0.000000e+000
2.180769e-001,-2.668803e-005,0.000000e+000
2.185962e-001,-2.735943e-005,0.000000e+000
2.191154e-001,-2.635233e-005,0.000000e+000
2.196346e-001,-2.333104e-005,0.000000e+000
2.201538e-001,-1.896696e-005,0.000000e+000
2.206731e-001,-1.829557e-005,0.000000e+000
2.211923e-001,-1.896696e-005,0.000000e+000
2.217115e-001,-1.963836e-005,0.000000e+000
2.222308e-001,-2.030976e-005,0.000000e+000
2.227500e-001,-2.131685e-005,0.000000e+000
2.232692e-001,-2.165255e-005,0.000000e+000
2.237885e-001,-2.098116e-005,0.000000e+000
2.243077e-001,-1.930266e-005,0.000000e+000
